mean1,std1,n1,dim1,dist1,mean2,std2,n2,dim2,dist2,time_pald_numpy,bound_pald_numpy
1,1,110,1,normal,1,1,210,1,normal,3.611372232437134,0.006001047064776665
1,1,210,1,normal,1,1,210,1,normal,6.273500680923462,0.004771379340132398
1,1,210,1,normal,1,1,210,1,normal,6.363497495651245,0.004774932506941575
1,1,210,1,normal,1,1,210,1,normal,6.314502239227295,0.004780097757828389
1,1,210,1,normal,1,1,210,1,normal,6.27500319480896,0.004771522671381819
1,1,210,1,normal,1,1,210,1,normal,6.305433988571167,0.004766886813827206
1,1,310,1,normal,1,1,210,1,normal,10.130291938781738,0.003991515221450214
1,1,310,1,normal,1,1,210,1,normal,10.105971813201904,0.003980772189992378
1,1,310,1,normal,1,1,210,1,normal,10.06779432296753,0.0040008574342310435
1,1,310,1,normal,1,1,210,1,normal,10.075671195983887,0.0039972499395252445
1,1,310,1,normal,1,1,210,1,normal,10.081250190734863,0.003992242797262546
1,1,410,1,normal,1,1,210,1,normal,14.452816009521484,0.003439264596941062
1,1,410,1,normal,1,1,210,1,normal,14.44733452796936,0.0034345761032331104
1,1,410,1,normal,1,1,210,1,normal,14.468011140823364,0.003441514473572955
1,1,410,1,normal,1,1,210,1,normal,15.081867933273315,0.003436683452885886
1,1,410,1,normal,1,1,210,1,normal,14.539536952972412,0.003444951530737174
1,1,510,1,normal,1,1,210,1,normal,19.653411626815796,0.0030227832616528173
1,1,510,1,normal,1,1,210,1,normal,19.70449709892273,0.0030371208749172887
1,1,510,1,normal,1,1,210,1,normal,19.605381965637207,0.0030316865680966015
1,1,510,1,normal,1,1,210,1,normal,19.65214991569519,0.0030323886826824457
1,1,510,1,normal,1,1,210,1,normal,19.783090114593506,0.0030293833994821735
1,1,610,1,normal,1,1,210,1,normal,25.90181279182434,0.0027192176901390404
1,1,610,1,normal,1,1,210,1,normal,25.859026670455933,0.002715277485925089
1,1,610,1,normal,1,1,210,1,normal,25.69822335243225,0.0027121206360068307
1,1,610,1,normal,1,1,210,1,normal,25.72201943397522,0.0027162784631475753
1,1,610,1,normal,1,1,210,1,normal,25.89341163635254,0.002713003666616631
1,1,710,1,normal,1,1,210,1,normal,33.020161867141724,0.0024577298721749834
1,1,710,1,normal,1,1,210,1,normal,32.96742057800293,0.002458194698196676
1,1,710,1,normal,1,1,210,1,normal,32.84493851661682,0.0024616949139326643
1,1,710,1,normal,1,1,210,1,normal,32.90430212020874,0.002448569380809798
1,1,710,1,normal,1,1,210,1,normal,32.75896143913269,0.002461652685271006
1,1,810,1,normal,1,1,210,1,normal,40.74994421005249,0.002249191987137568
1,1,810,1,normal,1,1,210,1,normal,41.327383518218994,0.002247176503373844
1,1,810,1,normal,1,1,210,1,normal,41.34256887435913,0.00224758992421848
1,1,810,1,normal,1,1,210,1,normal,40.905333042144775,0.0022525190940790494
1,1,810,1,normal,1,1,210,1,normal,40.91554927825928,0.0022520120902185456
1,1,910,1,normal,1,1,210,1,normal,50.86099123954773,0.002078423414728571
1,1,910,1,normal,1,1,210,1,normal,50.67708468437195,0.0020750856025829275
1,1,910,1,normal,1,1,210,1,normal,50.420843839645386,0.00207749952645152
1,1,910,1,normal,1,1,210,1,normal,50.228074073791504,0.002079431024075155
1,1,910,1,normal,1,1,210,1,normal,50.306546688079834,0.0020804790690942456
1,1,10,1,normal,1,1,310,1,normal,3.617130756378174,0.005968709811300943
1,1,10,1,normal,1,1,310,1,normal,3.5887153148651123,0.005978442331149515
1,1,10,1,normal,1,1,310,1,normal,3.5898523330688477,0.006005106666464749
1,1,10,1,normal,1,1,310,1,normal,3.5901551246643066,0.00600551855811053
1,1,10,1,normal,1,1,310,1,normal,3.571174383163452,0.006000104002378294
1,1,110,1,normal,1,1,310,1,normal,6.272179126739502,0.004780592055181213
1,1,110,1,normal,1,1,310,1,normal,6.284222602844238,0.004772999680672029
1,1,110,1,normal,1,1,310,1,normal,6.272272825241089,0.00476919702349072
1,1,110,1,normal,1,1,310,1,normal,6.273852825164795,0.004775194633542643
1,1,110,1,normal,1,1,310,1,normal,6.2595741748809814,0.004757479437101541
1,1,210,1,normal,1,1,310,1,normal,10.012096881866455,0.003987836463554635
1,1,210,1,normal,1,1,310,1,normal,10.028456211090088,0.003997053480779664
1,1,210,1,normal,1,1,310,1,normal,10.088216304779053,0.0039915094012064984
1,1,210,1,normal,1,1,310,1,normal,10.030812740325928,0.003994210563358744
1,1,210,1,normal,1,1,310,1,normal,10.063971281051636,0.00399085039730827
1,1,310,1,normal,1,1,310,1,normal,14.451737403869629,0.003441349093242698
1,1,310,1,normal,1,1,310,1,normal,14.390239238739014,0.00344136603789168
