mean1,std1,n1,dim1,dist1,mean2,std2,n2,dim2,dist2,time_pald_numpy,time_pald_cupy_multistream,time_pald_cupy,time_pald_cupy_loop,time_pald_cupy_kernels,bound_pald_numpy,bound_pald_cupy_multistream,bound_pald_cupy,bound_pald_cupy_loop,bound_pald_cupy_kernels
0,1,410,1,normal,0,1,10,1,normal,4.3851540088653564,0.030168533325195312,35.81682801246643,0.02190232276916504,11.336802959442139,0.004766577784704889,0.0047665766307285855,0.004766577784704889,0.004766577766055153,0.004766576063065302
0,1,410,1,normal,0,1,10,1,normal,4.3931779861450195,0.022875547409057617,35.84980297088623,0.021869421005249023,11.75747299194336,0.004780064911711711,0.004780063175019764,0.004780064911711711,0.004780064310346331,0.0047800620396931965
0,1,410,1,normal,0,1,10,1,normal,4.39346718788147,0.022710084915161133,35.303935050964355,0.02173018455505371,11.7214515209198,0.004785455506099048,0.004785453705560594,0.004785455506099048,0.004785454840887161,0.004785452570234027
0,1,410,1,normal,0,1,10,1,normal,4.400495529174805,0.02280402183532715,35.76806592941284,0.02203679084777832,11.644641876220703,0.00478159173100344,0.0047815896215892975,0.00478159173100344,0.004781591324579148,0.00478158848626273
0,1,410,1,normal,0,1,10,1,normal,4.383700132369995,0.022990942001342773,35.94456505775452,0.0212404727935791,11.823832988739014,0.004765489191869341,0.004765487284887405,0.004765489191869341,0.004765488420213972,0.0047654867172241214
0,1,610,1,normal,0,1,10,1,normal,10.063483715057373,0.043981313705444336,78.30929493904114,0.031868696212768555,32.34464645385742,0.0034388118091611365,0.0034388123020049066,0.0034388118091611365,0.0034388123020049066,0.0034388123020049066
0,1,610,1,normal,0,1,10,1,normal,10.061586618423462,0.034827470779418945,79.33428955078125,0.033269643783569336,25.159664630889893,0.003442701425349387,0.003442702370305215,0.003442701425349387,0.003442702370305215,0.003442702370305215
0,1,610,1,normal,0,1,10,1,normal,10.095697402954102,0.03496599197387695,78.9551751613617,0.03309369087219238,25.614053964614868,0.0034535847687510884,0.0034535857938951062,0.0034535847687510884,0.0034535854093490108,0.0034535857938951062
0,1,610,1,normal,0,1,10,1,normal,10.059086084365845,0.03362274169921875,78.62026333808899,0.03286027908325195,25.191454648971558,0.00344007826099512,0.003440079381389003,0.00344007826099512,0.0034400789968429073,0.003440079381389003
0,1,610,1,normal,0,1,10,1,normal,10.059683322906494,0.03367900848388672,78.6093978881836,0.032739877700805664,25.42770290374756,0.0034348029283091603,0.0034348037935072375,0.0034348029283091603,0.0034348034089611425,0.0034348037935072375
0,1,810,1,normal,0,1,10,1,normal,17.968700170516968,0.055561065673828125,136.42675828933716,0.043190956115722656,45.38673686981201,0.002710936850442332,0.0027109378721655868,0.002710936850442332,0.002710937581411222,0.0027109378721655868
0,1,810,1,normal,0,1,10,1,normal,17.986555337905884,0.04555106163024902,136.07601499557495,0.04316210746765137,44.758723735809326,0.0027055032730997548,0.0027055042545969894,0.0027055032730997548,0.0027055042545969894,0.0027055042545969894
0,1,810,1,normal,0,1,10,1,normal,17.93210744857788,0.04526495933532715,136.79240369796753,0.04337596893310547,44.05180072784424,0.002711013322555749,0.002711014631317883,0.002711013322555749,0.0027110143405635182,0.002711014631317883
0,1,810,1,normal,0,1,10,1,normal,18.014419078826904,0.045458078384399414,136.44624876976013,0.04387950897216797,45.39605689048767,0.0027172934667350633,0.0027172943440879264,0.0027172934667350633,0.0027172940533335614,0.0027172943440879264
0,1,810,1,normal,0,1,10,1,normal,19.737385988235474,0.04796481132507324,137.29429721832275,0.0433812141418457,44.612202167510986,0.0027158277296998423,0.0027158295235982757,0.0027158277296998423,0.002715828942089546,0.0027158295235982757
0,1,10,1,normal,0,1,210,1,normal,1.2502129077911377,0.012842416763305664,10.164123296737671,0.011027812957763672,3.2174248695373535,0.008174905759943885,0.008174905993721702,0.008174905759943885,0.008174905993721702,0.008174905451861295
0,1,10,1,normal,0,1,210,1,normal,1.1637773513793945,0.012162208557128906,10.135906219482422,0.010941743850708008,3.2245194911956787,0.00812781975636875,0.008127819949930365,0.00812781975636875,0.008127819949930365,0.008127819949930365
0,1,10,1,normal,0,1,210,1,normal,1.1661348342895508,0.011601924896240234,10.027823448181152,0.010939836502075195,3.2097198963165283,0.0081505732721583,0.008150574294003574,0.0081505732721583,0.008150573752143167,0.008150573752143167
