"mean1" "std1" "dist1" "n1" "dim1" "mean2" "std2" "dist2" "n2" "dim2" "time_pald_R" "bound_pald_R"
1 1 "normal" 410 1 1 1 "normal" 110 1 8.6587245464325 0.00399518423793191
1 1 "normal" 410 1 1 1 "normal" 110 1 8.65726804733276 0.00399517435472993
1 1 "normal" 410 1 1 1 "normal" 110 1 8.55513548851013 0.00398940147962834
1 1 "normal" 510 1 1 1 "normal" 110 1 16.6264841556549 0.00343871947740293
1 1 "normal" 510 1 1 1 "normal" 110 1 16.5214970111847 0.00344881640592653
1 1 "normal" 510 1 1 1 "normal" 110 1 16.708776473999 0.0034324129117638
1 1 "normal" 510 1 1 1 "normal" 110 1 16.750013589859 0.0034387570210235
1 1 "normal" 510 1 1 1 "normal" 110 1 16.5701947212219 0.0034308425538951
1 1 "normal" 610 1 1 1 "normal" 110 1 27.5573241710663 0.00303315487780273
1 1 "normal" 610 1 1 1 "normal" 110 1 27.7565493583679 0.00303625376086025
1 1 "normal" 610 1 1 1 "normal" 110 1 27.8150551319122 0.00303245688947635
1 1 "normal" 610 1 1 1 "normal" 110 1 28.0570998191833 0.00303034994373963
1 1 "normal" 610 1 1 1 "normal" 110 1 27.7910540103912 0.0030365599938329
1 1 "normal" 710 1 1 1 "normal" 110 1 43.5882873535156 0.00271636329076378
1 1 "normal" 710 1 1 1 "normal" 110 1 43.8622937202454 0.00271254495030542
1 1 "normal" 710 1 1 1 "normal" 110 1 43.7377660274506 0.00271600773800109
1 1 "normal" 710 1 1 1 "normal" 110 1 43.7394371032715 0.00271179197016503
1 1 "normal" 710 1 1 1 "normal" 110 1 43.7450671195984 0.00271104716259218
1 1 "normal" 810 1 1 1 "normal" 110 1 63.8072547912598 0.00246130686823087
1 1 "normal" 810 1 1 1 "normal" 110 1 64.1905505657196 0.00246173684177779
1 1 "normal" 810 1 1 1 "normal" 110 1 63.566942691803 0.00246190559756948
1 1 "normal" 810 1 1 1 "normal" 110 1 64.0139501094818 0.00245431912837047
1 1 "normal" 810 1 1 1 "normal" 110 1 63.3309714794159 0.00245662269350331
1 1 "normal" 910 1 1 1 "normal" 110 1 91.0213084220886 0.00224903032248213
1 1 "normal" 910 1 1 1 "normal" 110 1 91.4215316772461 0.00225311042117146
1 1 "normal" 910 1 1 1 "normal" 110 1 90.9726297855377 0.00224907578610502
1 1 "normal" 910 1 1 1 "normal" 110 1 90.9562892913818 0.00224843853776822
1 1 "normal" 910 1 1 1 "normal" 110 1 90.9982228279114 0.00224947733078474
1 1 "normal" 10 1 1 1 "normal" 210 1 0.877113103866577 0.00816924219611127
1 1 "normal" 10 1 1 1 "normal" 210 1 0.842596769332886 0.00812724283727684
1 1 "normal" 10 1 1 1 "normal" 210 1 0.86408805847168 0.00815312965089572
1 1 "normal" 10 1 1 1 "normal" 210 1 0.85332989692688 0.00814552422258709
1 1 "normal" 10 1 1 1 "normal" 210 1 0.830653190612793 0.00818372530994675
1 1 "normal" 110 1 1 1 "normal" 210 1 2.27884936332703 0.00598101993301303
1 1 "normal" 110 1 1 1 "normal" 210 1 2.22390866279602 0.00596494555466388
1 1 "normal" 110 1 1 1 "normal" 210 1 2.2907977104187 0.00597677273326888
1 1 "normal" 110 1 1 1 "normal" 210 1 2.25644421577454 0.00595995274165376
1 1 "normal" 110 1 1 1 "normal" 210 1 2.26906561851501 0.00596984789832224
1 1 "normal" 210 1 1 1 "normal" 210 1 4.72942137718201 0.00476598263074401
1 1 "normal" 210 1 1 1 "normal" 210 1 4.73068189620972 0.00478038316202829
1 1 "normal" 210 1 1 1 "normal" 210 1 4.7767391204834 0.00477214198108754
1 1 "normal" 210 1 1 1 "normal" 210 1 4.75429558753967 0.00477976274200181
1 1 "normal" 210 1 1 1 "normal" 210 1 4.74267363548279 0.00478214652164676
1 1 "normal" 310 1 1 1 "normal" 210 1 8.62761759757996 0.00398735650635098
1 1 "normal" 310 1 1 1 "normal" 210 1 8.55752682685852 0.00398070600983643
1 1 "normal" 310 1 1 1 "normal" 210 1 8.68960022926331 0.00400339586718441
1 1 "normal" 310 1 1 1 "normal" 210 1 8.69663023948669 0.00399467962438261
1 1 "normal" 310 1 1 1 "normal" 210 1 8.69188666343689 0.00400305839458524
1 1 "normal" 410 1 1 1 "normal" 210 1 16.7427799701691 0.00343801012921444
1 1 "normal" 410 1 1 1 "normal" 210 1 16.557053565979 0.00345226669401227
1 1 "normal" 410 1 1 1 "normal" 210 1 16.6850981712341 0.00342956206521374
1 1 "normal" 410 1 1 1 "normal" 210 1 16.5659101009369 0.00343105105686236
1 1 "normal" 410 1 1 1 "normal" 210 1 16.4939081668854 0.00344537071149051
1 1 "normal" 510 1 1 1 "normal" 210 1 27.7082691192627 0.00302332758602857
