Mean Accuracy,Total Accuracy,Median Accuracy,Max Accuracy,KNN 3 Neighbors Accuracy,KNN 5 Neighbors Accuracy,Log Reg Accuracy
0.35,0.4,0.35,0.35,0.35,0.55,0.4
0.65,0.7833333333333333,0.6333333333333333,0.7083333333333334,0.9,0.9166666666666666,0.9166666666666666
0.8318181818181818,0.9,0.8045454545454546,0.8863636363636364,0.9409090909090908,0.9545454545454546,0.9545454545454546
0.821875,0.934375,0.8,0.9,0.96875,0.96875,0.96875
0.7583333333333333,0.75,0.7666666666666667,0.7583333333333333,0.9166666666666666,0.9083333333333332,0.9166666666666666
0.55,0.4863636363636364,0.5590909090909091,0.5272727272727272,0.4545454545454545,0.4863636363636364,0.5
0.553125,0.575,0.575,0.58125,0.578125,0.6375,0.65625
0.5785714285714286,0.6261904761904762,0.5857142857142857,0.6238095238095238,0.6738095238095239,0.7071428571428572,0.7380952380952381
0.8727272727272727,0.8681818181818182,0.8727272727272727,0.8681818181818182,0.9272727272727272,0.9545454545454546,0.9545454545454546
0.70625,0.58125,0.734375,0.65,0.6,0.575,0.65625
0.6023809523809524,0.5119047619047619,0.65,0.580952380952381,0.5023809523809524,0.5380952380952381,0.5238095238095238
0.5865384615384616,0.5596153846153846,0.5942307692307692,0.5903846153846154,0.5423076923076923,0.5307692307692308,0.5961538461538461
0.86875,0.865625,0.86875,0.865625,0.96875,0.96875,0.96875
0.7238095238095238,0.6428571428571429,0.7380952380952381,0.6761904761904762,0.6428571428571429,0.6809523809523811,0.7380952380952381
0.6403846153846153,0.5269230769230769,0.6557692307692308,0.5884615384615385,0.4942307692307693,0.4788461538461538,0.5961538461538461
0.6661290322580645,0.5225806451612903,0.6806451612903226,0.6161290322580645,0.5177419354838709,0.4967741935483871,0.5016129032258064
0.5,0.5,0.5,0.5,0.65,0.7,0.65
0.875,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.9416666666666668,0.9333333333333332,0.9333333333333332
0.9,0.95,0.9,0.9136363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636
0.9625,0.9625,0.9625,0.9625,0.984375,0.978125,0.978125
0.75,0.7166666666666667,0.75,0.7416666666666667,0.9083333333333332,0.9,0.9166666666666666
0.6181818181818182,0.6954545454545454,0.6363636363636364,0.6818181818181818,0.8090909090909091,0.8136363636363636,0.6
0.59375,0.7625,0.559375,0.703125,0.884375,0.890625,0.65625
0.5833333333333334,0.7738095238095238,0.5428571428571428,0.7238095238095238,0.8809523809523809,0.8880952380952379,0.7380952380952381
0.8136363636363636,0.8136363636363636,0.8227272727272728,0.8136363636363636,0.9227272727272728,0.9363636363636364,0.9545454545454546
0.653125,0.7,0.6875,0.70625,0.784375,0.78125,0.65625
0.6714285714285714,0.7380952380952381,0.669047619047619,0.7071428571428572,0.8095238095238095,0.8142857142857143,0.5380952380952381
0.6096153846153847,0.7557692307692307,0.5903846153846154,0.6903846153846154,0.8519230769230769,0.8634615384615385,0.6096153846153847
0.875,0.859375,0.875,0.86875,0.965625,0.965625,0.96875
0.7595238095238095,0.7238095238095238,0.7571428571428571,0.75,0.7642857142857142,0.7547619047619047,0.7380952380952381
0.7269230769230769,0.7692307692307693,0.7192307692307692,0.7519230769230769,0.7846153846153846,0.8115384615384615,0.5961538461538461
0.667741935483871,0.7967741935483871,0.682258064516129,0.7274193548387097,0.8241935483870968,0.8435483870967742,0.5306451612903226
0.7,0.7,0.7,0.7,0.85,0.8,0.6
0.875,0.9,0.8666666666666667,0.8916666666666667,0.9833333333333332,0.9583333333333334,0.9166666666666666
0.9181818181818182,0.9272727272727272,0.9181818181818182,0.9272727272727272,1.0,0.9954545454545456,0.9590909090909092
0.9625,0.96875,0.95625,0.965625,0.9875,0.9875,0.971875
0.8166666666666667,0.7833333333333333,0.8166666666666667,0.8166666666666667,0.8833333333333333,0.9083333333333332,0.9166666666666666
0.65,0.7772727272727272,0.6227272727272727,0.7045454545454546,0.8681818181818182,0.8818181818181818,0.6545454545454545
0.653125,0.809375,0.609375,0.740625,0.94375,0.94375,0.65625
0.6880952380952381,0.8476190476190476,0.6666666666666666,0.8,0.938095238095238,0.9357142857142856,0.7380952380952381
0.8181818181818182,0.8090909090909091,0.8181818181818182,0.8136363636363636,0.9409090909090908,0.9409090909090908,0.9545454545454546
0.646875,0.771875,0.646875,0.734375,0.84375,0.865625,0.65625
0.6738095238095239,0.7880952380952381,0.6476190476190476,0.7476190476190476,0.8690476190476191,0.8738095238095238,0.5428571428571428
0.6192307692307693,0.7961538461538461,0.5807692307692308,0.7423076923076923,0.8961538461538462,0.9019230769230768,0.5980769230769231
0.8625,0.853125,0.8625,0.85625,0.953125,0.953125,0.96875
0.7857142857142857,0.8214285714285714,0.7619047619047619,0.830952380952381,0.8619047619047621,0.8785714285714286,0.7380952380952381
0.7230769230769231,0.8076923076923077,0.7288461538461538,0.7942307692307692,0.8596153846153847,0.8692307692307693,0.5961538461538461
0.6806451612903226,0.8274193548387097,0.6435483870967742,0.7661290322580645,0.8806451612903226,0.8790322580645161,0.5483870967741935
0.6,0.6,0.6,0.6,0.8,0.8,0.8
0.925,0.925,0.925,0.925,0.975,0.9583333333333334,0.9166666666666666
0.9409090909090908,0.9409090909090908,0.9409090909090908,0.9409090909090908,0.9818181818181818,0.9863636363636364,0.9590909090909092
0.953125,0.96875,0.953125,0.96875,0.990625,0.984375,0.96875
0.7916666666666666,0.7833333333333333,0.8,0.8083333333333333,0.9,0.8916666666666667,0.9166666666666666
0.7272727272727273,0.8363636363636363,0.7136363636363636,0.7818181818181819,0.9318181818181818,0.9090909090909092,0.5227272727272727
0.671875,0.8125,0.6625,0.746875,0.9375,0.940625,0.68125
0.7285714285714285,0.8547619047619047,0.7,0.8214285714285714,0.9738095238095238,0.9714285714285714,0.7380952380952381
0.85,0.8272727272727273,0.85,0.8409090909090909,0.95,0.9545454545454546,0.9545454545454546
0.721875,0.815625,0.715625,0.784375,0.896875,0.915625,0.65625
0.7023809523809523,0.8166666666666667,0.6714285714285714,0.7547619047619047,0.9142857142857144,0.9380952380952379,0.6452380952380953
0.6634615384615384,0.8461538461538461,0.5865384615384616,0.7865384615384615,0.946153846153846,0.95,0.5961538461538461
0.896875,0.890625,0.909375,0.89375,0.96875,0.96875,0.96875
0.7857142857142857,0.8285714285714286,0.7738095238095238,0.8095238095238095,0.8690476190476191,0.8785714285714286,0.7380952380952381
0.75,0.8653846153846154,0.7019230769230769,0.8326923076923077,0.8826923076923077,0.9038461538461541,0.5961538461538461
0.6838709677419355,0.8483870967741935,0.6854838709677419,0.7870967741935484,0.8951612903225806,0.9048387096774192,0.5274193548387097
0.75,0.75,0.75,0.75,1.0,1.0,1.0
0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0
0.9772727272727272,0.9772727272727272,0.9772727272727272,0.9772727272727272,1.0,1.0,1.0
0.978125,0.978125,0.978125,0.978125,1.0,1.0,1.0
0.9,0.9,0.9,0.9,1.0,1.0,1.0
0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0
0.971875,0.971875,0.971875,0.971875,1.0,1.0,1.0
0.9738095238095238,0.9738095238095238,0.9738095238095238,0.9738095238095238,1.0,1.0,1.0
0.8909090909090909,0.8909090909090909,0.8909090909090909,0.8909090909090909,1.0,1.0,1.0
0.9625,0.9625,0.9625,0.9625,1.0,1.0,1.0
0.9547619047619048,0.9547619047619048,0.9547619047619048,0.9547619047619048,1.0,1.0,1.0
0.9653846153846154,0.9653846153846154,0.9653846153846154,0.9653846153846154,1.0,1.0,1.0
0.928125,0.928125,0.928125,0.928125,1.0,1.0,1.0
0.9357142857142856,0.9357142857142856,0.9357142857142856,0.9357142857142856,1.0,1.0,1.0
