rows,cols,vals
5,6,0.00314449387050829
6,7,0.00323630529257509
2,10,0.00342968091234307
9,10,0.00410430681863068
10,11,0.00273452026355511
2,13,0.00293581211089106
10,13,0.00271331090490365
11,13,0.00280577165503522
2,15,0.00292860688090848
2,16,0.00311069660407516
3,16,0.00348376603853301
9,16,0.00344574720834465
10,16,0.00437112603062507
14,16,0.002930949618883
2,21,0.00336904094892236
7,21,0.00344886692874773
9,21,0.00285691581370731
10,21,0.00471075764425901
13,21,0.00285071713708807
15,21,0.00308584660072731
16,21,0.00381088392323043
3,22,0.0030904127138288
7,22,0.00331598308188989
20,22,0.00290575114283093
21,22,0.00284353701775684
3,23,0.00364556512178676
14,23,0.00332492666240842
20,23,0.00277432132584149
7,24,0.00311660252892096
11,24,0.00364742224709229
6,26,0.0034463238386309
16,26,0.00391601494820966
21,26,0.00298470470166105
22,26,0.00276099288960569
2,27,0.00283704154748831
3,27,0.00386713898754915
10,27,0.00317561903977333
15,27,0.00317284599186044
16,27,0.00498001976167101
18,27,0.00282822425841423
21,27,0.00301014446692151
23,27,0.00278437813745513
5,28,0.00286769560026417
8,28,0.00270036148415789
11,28,0.00294686315271311
15,29,0.00292589552324579
21,29,0.00304329812978782
26,29,0.00405388797350778
2,31,0.00277366665626147
3,31,0.00305937428514411
7,31,0.00270198560441731
13,31,0.00334351466435202
16,31,0.00328613964507178
21,31,0.00466244258229638
22,31,0.0035646265656272
27,31,0.00330720092189597
6,32,0.00286404376484638
14,32,0.00277292738388425
15,32,0.003439808556888
26,32,0.00502984853503644
29,32,0.00419511530605928
1,33,0.00301807858005421
7,33,0.00336832622233858
13,33,0.00300831383746884
28,33,0.00270102836408488
29,33,0.00343471522730524
3,34,0.00321559672441252
13,34,0.00302064146670109
14,34,0.00437253303972646
7,35,0.00436796467487538
11,35,0.00299453760801971
21,35,0.00353468558268327
22,35,0.00598719647102675
29,35,0.0031895797587425
30,35,0.00282414920329968
33,35,0.00286462220068724
9,36,0.00285254776671872
11,36,0.00389287323262895
15,36,0.00396501280537344
27,36,0.00348402669742012
35,36,0.00413305869054638
9,38,0.0035924347461206
11,38,0.00307441944052319
16,38,0.00402108080717965
30,38,0.00334385303899314
36,38,0.00412283131746531
2,39,0.00360528893003912
3,39,0.00325247611663765
16,39,0.0045144664591662
27,39,0.00370323895433021
31,39,0.0027053131305466
8,40,0.00351558320894549
11,40,0.00362359032487722
28,40,0.0031068062582408
6,41,0.00306236075647009
8,41,0.00289696987324769
16,41,0.00398026543850681
22,41,0.00272490086898378
26,41,0.00334970153999173
35,41,0.00311385773259564
36,41,0.00396994005663462
40,41,0.00279014383563045
7,42,0.00377378802874252
35,42,0.00390085656836956
36,42,0.0041489213968652
38,42,0.00365436833519224
3,43,0.00300397402829478
16,43,0.00344645469544895
2,44,0.00289171216773497
16,44,0.00292713723717574
26,44,0.00302751160330306
37,44,0.00300791819050358
2,45,0.00363088392973136
14,45,0.00324929020465715
15,45,0.00400364478001921
23,45,0.00290787352119891
39,45,0.00295896662987241
19,46,0.00331374437745161
24,46,0.00285141273164336
42,46,0.00274541717407875
2,47,0.00304029215912633
27,47,0.00316320742920663
36,47,0.00278500031833158
39,47,0.0047345992020183
45,47,0.00396439838681596
2,48,0.00424749289503981
9,48,0.00395972252392207
13,48,0.0034339438633243
18,48,0.00314685139575238
21,48,0.00375612288016595
29,48,0.00278787611349771
44,48,0.00311319025736795
3,49,0.00315954236332183
9,49,0.00466909965624924
16,49,0.00311819502166212
22,49,0.00337761272359848
23,49,0.00392312502330616
30,49,0.00320258064835278
35,49,0.00571961764625962
36,49,0.00376345936284186
38,49,0.00380902758347301
39,49,0.00269083585033658
42,49,0.00438983000935004
3,51,0.00456028013830899
9,51,0.00336940670558302
13,51,0.00277001637160129
26,51,0.00296535786799987
29,51,0.0030787011719061
34,51,0.00466829872174566
35,51,0.00269327165041064
48,51,0.0043727562839035
49,51,0.00282966780087771
15,52,0.0029064466332187
25,52,0.00318882674583585
19,53,0.00280962594279843
40,53,0.00380850857620994
43,53,0.00288289755115911
16,54,0.00383377995083328
22,54,0.0030091848478805
27,54,0.00468530473390195
32,54,0.00465247335450294
36,54,0.00339286137712883
39,54,0.00330068140954123
41,54,0.00402860478490924
47,54,0.00343142815116138
15,55,0.00396967619231779
36,55,0.0030807293469483
52,55,0.0033740800882614
2,56,0.00347146022354964
3,56,0.00439883122389207
13,56,0.00271318369077642
14,56,0.00375474792437985
16,56,0.00521524722850936
27,56,0.00396304515829184
31,56,0.0028625764804262
34,56,0.00275492333564713
36,56,0.00336801456966576
39,56,0.00444216389573927
42,56,0.00292829732868806
45,56,0.00301938892601335
47,56,0.00373619994325652
48,56,0.00472657994462717
51,56,0.0048554911195317
52,56,0.00301022496239113
54,56,0.0029579335434182
10,57,0.00356469434737288
42,57,0.00274489530357603
43,57,0.00294401424421969
3,58,0.00393652601973229
9,58,0.00278441263228131
21,58,0.00283148611475447
29,58,0.00289655027812921
42,58,0.0037690821720965
48,58,0.00273228733522054
49,58,0.00392901481413302
51,58,0.00371814352014461
56,58,0.00454035174075241
7,59,0.00309894947658704
14,59,0.0038143342762359
15,59,0.00275795239846819
16,59,0.00432493410725647
43,59,0.00313433820891059
45,59,0.00360748855549654
48,59,0.00271763119000081
55,59,0.00269128051630755
8,60,0.00404063842413661
11,60,0.00346471977306808
31,60,0.00320312365424268
35,60,0.00270622932611817
36,60,0.00534691552591565
39,60,0.00308113400307595
42,60,0.0043226265475234
47,60,0.00299957406063266
49,60,0.00450409095502138
58,60,0.00401963503122211
45,61,0.00332929696842509
46,61,0.00285157768560797
55,61,0.00312675739802735
59,61,0.00341188471612978
16,62,0.00351495892505865
24,62,0.00313569038250709
26,62,0.00372302330075993
27,62,0.00279864793236635
28,62,0.00343865043337651
33,62,0.00303830292183297
37,62,0.00311231224453471
23,63,0.00322014527657443
35,63,0.00355794615213222
9,64,0.00327737603762291
13,64,0.00279881770995394
15,64,0.00269701366008669
36,64,0.00312799471459094
38,64,0.00437608867004292
49,64,0.00303134491218129
51,64,0.00319177609624248
14,65,0.00274376071388064
15,65,0.00348698352012452
21,65,0.00323229508852794
45,65,0.00444992335773051
51,65,0.0027364735147059
52,65,0.003152223153184
57,65,0.0027216534210196
7,66,0.00349571450862488
14,66,0.00304011215942994
15,66,0.00336116820316131
21,66,0.00331106612725874
29,66,0.00470657351250683
48,66,0.00324761344444031
52,66,0.00280753425271487
55,66,0.00349711081822708
59,66,0.00468800208701889
19,67,0.00377835908689412
40,67,0.0030012779641434
43,67,0.00279231670697055
53,67,0.00318596482082241
15,68,0.00282554322221714
26,68,0.00388449902938951
32,68,0.00372263604959388
36,68,0.00306076035366621
45,68,0.00303788090076717
54,68,0.00324501927937454
56,68,0.00273969081721948
60,68,0.00395692409645415
7,69,0.0030941887322746
14,69,0.00298406236087209
23,69,0.00372661737077383
36,69,0.00449662347764564
38,69,0.00368336823762324
42,69,0.00476578480728147
53,69,0.00302938976966827
59,69,0.00285335377005462
33,70,0.0027709888712318
34,70,0.00276428419907147
49,70,0.0030322224525452
3,71,0.00391390343509806
14,71,0.00468978319158849
16,71,0.00492169025068291
22,71,0.0037279792303361
27,71,0.00279120677010703
30,71,0.00293702948331698
31,71,0.00350217512796702
34,71,0.00581329124813592
35,71,0.00382955648800114
38,71,0.00423319388687675
39,71,0.00281706266653908
42,71,0.00340832194207169
43,71,0.00360622572332028
45,71,0.00288297643596274
49,71,0.00284153318709076
51,71,0.00484625275952197
56,71,0.00412411456826048
60,71,0.00398824362500801
69,71,0.00298506067191225
3,72,0.0050329708978592
13,72,0.0044100160977624
14,72,0.00356334063093507
16,72,0.00752482346255508
22,72,0.0028707429902481
26,72,0.00399065399582775
27,72,0.00352097748018332
31,72,0.00318128744534542
33,72,0.00361680449897798
34,72,0.003806965045913
41,72,0.00269265182979924
43,72,0.00294933632946477
49,72,0.00398769864931792
51,72,0.00447840153440235
56,72,0.0051719699281129
58,72,0.00369993638778396
59,72,0.00326275398318579
62,72,0.00421912147409618
70,72,0.0028167761038986
71,72,0.00476636157841747
42,73,0.00331449210154391
58,73,0.00299613464332827
69,73,0.00392080347895643
3,74,0.00316335620404256
9,74,0.00300674774519943
11,74,0.00276579388353297
13,74,0.00311155495845484
27,74,0.00315389034928947
36,74,0.0035806167535896
38,74,0.00273661935520603
42,74,0.00323968528348423
56,74,0.00270526134157575
69,74,0.00274375905557338
72,74,0.00417142680148699
6,75,0.00281380408679049
19,75,0.00367141141373816
25,75,0.00286675933197828
34,75,0.002713514080601
40,75,0.00312051050083455
3,76,0.00322566216243961
23,76,0.0034032775469691
49,76,0.00477749020650896
51,76,0.00332246994193442
58,76,0.00409747380085604
60,76,0.00413503435967511
73,76,0.00304763954925304
9,77,0.00319954181869445
16,77,0.00638086111563115
22,77,0.00272176065609576
26,77,0.00313666113869393
35,77,0.00378498531139733
41,77,0.00344327414113941
42,77,0.00406423915712967
43,77,0.00299287833250492
44,77,0.00294341939870896
46,77,0.0029483160067038
49,77,0.00523461909701433
54,77,0.00339237139941554
58,77,0.00290888401280297
59,77,0.00389916755951742
60,77,0.00416827086021967
61,77,0.00340012758466629
70,77,0.00276396575200836
71,77,0.003595570522969
72,77,0.00388141232974832
36,78,0.00272250291837439
38,78,0.00299040018371587
42,78,0.00312596284854956
2,79,0.00335868118700115
7,79,0.00490601337521065
14,79,0.00337574733036365
15,79,0.00276520828919016
16,79,0.00433162990651493
17,79,0.00306822628484487
21,79,0.00400145970003277
23,79,0.00328918177747442
31,79,0.00494351378691445
35,79,0.00347774602102286
36,79,0.00435479781583855
41,79,0.00274795161998168
42,79,0.00365638501333685
45,79,0.00316531320675747
49,79,0.00275876817409587
56,79,0.00382075752446471
59,79,0.00293920981814366
60,79,0.00438537340620071
68,79,0.00354750752550061
69,79,0.00590819238918415
71,79,0.00373791150061792
77,79,0.00292818558949817
13,80,0.00318800663506097
14,80,0.0029925788137887
15,80,0.00287071308529547
16,80,0.00467448223782307
27,80,0.006001393883424
34,80,0.00403807354585099
36,80,0.00347572600355245
40,80,0.00333482961438514
43,80,0.0027397556413177
45,80,0.00328287793109877
54,80,0.00309288612702699
56,80,0.00290437876153766
57,80,0.00295903795045959
59,80,0.00310862483036173
66,80,0.00274698127961911
71,80,0.00446201330845706
72,80,0.00331755245520722
74,80,0.00324188716548856
75,80,0.002714375711206
2,81,0.00289921165832012
3,81,0.0030439391883604
7,81,0.00319194855338531
9,81,0.00270197875485431
10,81,0.00391431946929797
13,81,0.00323741958226523
15,81,0.00380771656464457
16,81,0.00487160299942091
21,81,0.00292734429077739
23,81,0.00376307483441773
27,81,0.00607616085224723
31,81,0.00284189159748209
35,81,0.00335545891277473
36,81,0.00514516923773963
38,81,0.0033165179846002
45,81,0.00286457538791612
47,81,0.00303646945440706
49,81,0.00484788400513527
54,81,0.00487322680743269
56,81,0.00372301397334557
59,81,0.0037615805931029
62,81,0.00428405672693529
66,81,0.00329899243261402
69,81,0.00269455596492926
72,81,0.00480485747067349
74,81,0.00501386233970741
79,81,0.00459946949696926
80,81,0.00432513072737551
14,82,0.00296671543515889
20,82,0.0031510703226513
23,82,0.0035385231994959
35,82,0.00279528848388084
36,82,0.00274745895443795
45,82,0.00451098155294342
47,82,0.00275857565952876
49,82,0.00280223083041595
55,82,0.00371196466323449
59,82,0.0027771501260037
65,82,0.00269521244805982
70,82,0.00385765759142868
71,82,0.00318957522734028
14,83,0.00327264090950691
15,83,0.00370792258782636
23,83,0.00301299550126656
29,83,0.00329974183588818
32,83,0.00437057885711505
59,83,0.00336663787887366
66,83,0.00335995631115215
73,83,0.00270147270198309
3,84,0.00337660335947499
6,84,0.00282632009233604
8,84,0.00349183395132024
14,84,0.00394259419583178
16,84,0.0056492214768694
26,84,0.00562676065788995
29,84,0.00303054188921407
32,84,0.00368893427468463
34,84,0.0037766170717726
41,84,0.00283969098585866
43,84,0.00363015694779829
51,84,0.00523408087401872
52,84,0.0037461820054593
56,84,0.00408123106745092
58,84,0.0031317273614273
60,84,0.00311409398204502
65,84,0.00273667288868003
67,84,0.00270297979564584
69,84,0.00319141937390785
71,84,0.00629276700674915
72,84,0.00665946640289761
73,84,0.00325021550564333
77,84,0.00364973253511421
83,84,0.00278027462708385
74,85,0.00332205024620211
3,86,0.00297581170003182
9,86,0.00285132121187894
11,86,0.00308270515724446
15,86,0.00448867948849442
16,86,0.00280496602325739
36,86,0.00347677964547486
38,86,0.00359708160709379
47,86,0.00291215877099477
55,86,0.00312385817120953
56,86,0.00346186584234636
61,86,0.00278332242264663
64,86,0.00309416142139015
74,86,0.00312679420823731
80,86,0.00361333262652912
81,86,0.00374235184282261
3,87,0.00324942761637613
6,87,0.00395337871745657
16,87,0.00422603240868712
19,87,0.00345196603792169
26,87,0.00318613118274394
41,87,0.00564646243066827
43,87,0.00285269823541636
53,87,0.00313872361013226
56,87,0.00295433531631693
58,87,0.00327930611580949
67,87,0.00349769151509789
73,87,0.00347635591486877
77,87,0.00521913427391179
79,87,0.00339513270092245
84,87,0.00290153480778558
85,87,0.00271852528699961
34,88,0.00439724350103659
40,88,0.00300754595709944
51,88,0.00342672345847771
71,88,0.00344468849245986
